科目,章节,题目,答案
地理,世界的海陆分布,7._________的海拔无固定标准，指中间低、四周高的地形。,盆地
地理,世界的海陆分布,8.世界面积最大的盆地是________盆地，最大的平原是________平原，最大的高原是________高原。,刚果；亚马孙；巴西
地理,世界的海陆分布,9.世界最长的山脉是________山脉，最长的山系是________山系，最高的高原是________高原。,安第斯；科迪勒拉；青藏
地理,世界的海陆分布,10._________是陆地向海洋的自然延伸部分，水深一般在________米以内，适合发展渔场和开采石油。,大陆架；200
地理,世界的海陆分布,11.海沟是海洋底部最深的地方，世界最深的海沟是位于太平洋的________海沟。,马里亚纳
地理,七大洲和四大洋,1.七大洲面积最大的洲是________洲，面积最小的洲是________洲。(亚非北南美，南极欧大洋),亚；大洋
地理,七大洲和四大洋,2.赤道穿过的大洲是________洲、________洲、________洲、________洲。,亚；非洲、南美；大洋
地理,七大洲和四大洋,3.全部位于北半球的大洲是________洲、________洲；全部位于南半球的大洲是________洲。,欧；北美；南极
地理,七大洲和四大洋,4.亚洲与非洲的分界线是________运河。,苏伊士
地理,七大洲和四大洋,5.亚洲与北美洲的分界线是________海峡。,白令
地理,七大洲和四大洋,6.亚洲与欧洲的分界线是________山脉、________河、_________山脉________、________海峡。,乌拉尔；乌拉尔；大高加索；土耳其
地理,七大洲和四大洋,7.非洲与欧洲的分界线是________海峡、________海。,直布罗陀；地中
地理,七大洲和四大洋,8.北美洲与南美洲的分界线是_________运河。,巴拿马
地理,七大洲和四大洋,9.南美洲与南极洲的分界线是________海峡。,德雷克
地理,七大洲和四大洋,10.四大洋按面积大小顺序排列是：________洋、_________洋、__________洋、________洋。,太平；大西洋、印度洋、北冰
地理,七大洲和四大洋,11.全部位于北半球的大洋是________。,北冰洋
地理,七大洲和四大洋,"12.苏伊士运河分开了________洲和________洲，位于________(国家名称),沟通了________海和________海，或沟通了________和________。",亚；非；埃及；红；地中；印度洋；大西洋
地理,七大洲和四大洋,13.巴拿马运河分开了________洲和________洲，位于中美地峡的国家巴拿马，沟通了________洋和___洋。,北美；南美；大西；太平
地理,七大洲和四大洋,"14.跨经度最广的大洲是________,跨纬度最广的大洲是________。",南极洲；亚洲
地理,七大洲和四大洋,15.跨经度最广的大洋是_________。,北冰洋
地理,地形与等高线图,1.海拔是地面某一个地点高出________的垂直距离。,海平面
地理,地形与等高线图,2.________是地面某个地点高出另一个地点的垂直距离。,相对高度
地理,地形与等高线图,3.等高线是在地图上把________相等的点连接而成的闭合的曲线。,海拔
地理,地形与等高线图,4.同一条等高线上的海拔处处________。,相等
地理,地形与等高线图,5.同一幅等高线图上，相邻两条等高线的高度差相等，称为________。,等高距
地理,地形与等高线图,"6.山顶等高线，中心海拔________,四周海拔________。",高；低
地理,地形与等高线图,"7.盆地等高线，中心海拔________,四周海拔________。",低；高
地理,地形与等高线图,8.________是位于两个山顶之间的海拔相对较低的部位。,鞍部
地理,地形与等高线图,9.________是等高线向海拔低处凸出的部位。(“凸高为谷，凸低为脊”),山脊
地理,地形与等高线图,10.________是等高线向海拔高处凸出的部位，是河流的发源地。,山谷
地理,地形与等高线图,11.________是等高线重叠处，适合开展________等极限运动，可能存在_______,陡崖；攀岩、蹦极、滑翔；瀑布
地理,地形与等高线图,"12.等高线越________坡度越陡；等高线越________,坡度越缓。",密集；稀疏
地理,地形与等高线图,13.在山地修路时，尽量选择与等高线平行，坡度和缓的地方，即等高线________的地方。,稀疏
地理,地形与等高线图,"14.分层设色地形图上，绿色表示________,黄色表示________,褐色表示________,白色表示冰雪，蓝色表示海洋。",平原；丘陵、高原；高山
地理,海陆变迁和板块运动,1.沧海桑田说明了海洋和陆地一直处于________之中。,运动变化
地理,海陆变迁和板块运动,2.大陆漂移假说是德国科学家________提出的。,魏格纳
地理,海陆变迁和板块运动,3.板块构造学说认为，地球________是由板块拼合而成的。全球主要有________大板块，即________板块、非洲板块、________板块、________板块、美洲板块、南极洲板块。,岩石圈；6；亚欧；太平洋；印度洋
地理,海陆变迁和板块运动,4.________板块里几乎都是海洋。,太平洋
地理,海陆变迁和板块运动,5.________半岛、________半岛和________位于印度洋板块。,阿拉伯半岛、印度；大洋洲
地理,海陆变迁和板块运动,"6.一般来说，板块的内部，地壳比较________,板块与板块交界的地带，有的地方张裂________,发生在海洋上，海洋的面积会________(扩大/缩小),发生在陆地上会形成裂谷。有的地方碰撞________,发生在海洋上，海洋的面积会________,发生在陆地上山脉会________(抬升/下沉)。",稳定；拉伸；扩大；挤压；缩小；抬升
地理,海陆变迁和板块运动,7.运用板块构造学说预测：位于海洋的碰撞挤压处，________的面积会缩小，________的面积会扩大。喜马拉雅山脉会继续________。,地中海、太平洋；红海大西洋；升高
地理,海陆变迁和板块运动,8.板块与板块交界的地带多火山地震，世界两大火山地震带：________火山地震带和阿尔卑斯—________火山地震带。,环太平洋；喜马拉雅
地理,海陆变迁和板块运动,"9.世界上火山最多的国家________是________,位于________的交界处。",印度尼西亚；亚欧板块、印度洋板块、太平洋板块
地理,世界的居民,1.截止2022年11月底，世界人口突破________亿。,80
地理,世界的居民,2.出生率=新出生增加的人口÷________,总人口数
地理,世界的居民,3.________=人口出生率一人口死亡率。,自然增长率
地理,世界的居民,4.________=总人口÷总面积。,人口密度
地理,世界的居民,5.一般来说，经济发展水平高的国家，人口的自然增长速度较________;经济发展水平低的国家，人口的自然增长速度较_______,慢；快
地理,世界的居民,"6.人口最多的大洲是________,年人口增加数量最多的大洲是________洲",亚洲；亚
地理,世界的居民,7.人口自然增长率最高的大洲是________洲，人口自然增长率最低的大洲是________洲(南极洲除外)。,非州；欧州
地理,世界的居民,8.亚洲________部和________部、欧洲________部、美洲________部等地区，人口稠密。,东；南；西；北
地理,世界的居民,9.干旱的荒漠、寒冷的极地、空气稀薄的高山高原、原始的热带雨林等地区，人口________。,稀少
地理,世界的居民,10.人口增长过多过快，会造成粮食________、毁林开荒、生态恶化、________、________等问题，解决措施是________。,短缺；住房紧张；交通拥挤；控制人口数量
地理,世界的居民,11.人口增长过慢，会造成人口________化、劳动力________、国防兵源不足、社会养老负担重等问题，解决措施是________、接纳移民、延迟退休等。,老龄；不足；鼓励生育
地理,世界的居民,12.人口的增长应与________相协调，与社会经济发展相适应。,资源环境
地理,世界的人种、语言和宗教,1.黄色人种主要分布在亚洲________部。美洲________人和北冰洋沿岸的________人也属于黄色人种。,东；印第安；因纽特
地理,世界的人种、语言和宗教,2.白色人种主要分布在________州、北美洲、非洲________部、亚洲________部和________部、大洋洲。,欧；北；西；南
地理,世界的人种、语言和宗教,3.美国和加拿大是移民国家，以________人种为主。,白色
地理,世界的人种、语言和宗教,"4.南美洲被称为“________”,以________人种为主。",世界人种的大熔炉；混血
地理,世界的人种、语言和宗教,5.位于北非的埃及属于________色人种，南亚的印度属于________色人种。________人种主要分布撒哈拉沙漠以南的非洲，被称为黑色人种的故乡。,白；白；黑色
地理,世界的人种、语言和宗教,6.联合国的六种工作语言是________语、________语、________语、__________语、________7.世界上使用人数最多的语言是________语，流传最广的语言是________语。,汉语、英语、法语、俄语、西班牙；阿拉伯
地理,世界的人种、语言和宗教,"8.世界上信徒最多、流传最广的宗教是________教，发源于________地区，经典为《________》,主要分布在_______、北美洲和大洋洲。",基督；巴勒斯坦；圣经；欧洲
地理,世界的人种、语言和宗教,"9.伊斯兰教发源于西亚的沙特阿拉伯，经典为《古兰经》,伊斯兰教的教徒被称为________,主要分布在亚洲________部和东南部、非洲________部和东部。",穆斯林；西；北
地理,世界的人种、语言和宗教,"10.佛教发源于________,主要分布在________和________亚、南亚的________。",古印度；东亚；东南；斯里兰卡
地理,世界的人种、语言和宗教,11.基督教、伊斯兰教、佛教，这三大宗教都发源于________洲，发源时间最早的是________。记住三大宗教的宗教建筑的图片,亚；佛教
地理,世界的聚落,1.人们集中地居住在一起，就形成了________。聚落的主要形式包括________和________。,聚落；城市；乡村
地理,世界的聚落,2.城市是________达到一定规模，主要从事________活动的居民聚居地。,人口数量；非农业产业
地理,世界的聚落,3.乡村民居大多数沿________、________或________分布。,河流；山麓；公路
地理,世界的聚落,"4.在河流支流与干流的________,或者河流的________,往往形成比较大的城市。",汇合处；入海口
地理,世界的聚落,5.地势________、水源________、气候________、土________壤________、资源________的地区，________有利于聚落的形成和发,低平；充足；适宜；肥沃；丰富、交通便利
地理,世界的聚落,"6.寒冷地区的民居：墙________窗________,屋顶________有利于排雪。",厚；小；高耸
地理,世界的聚落,"7.沙漠地区的民居：墙________窗________,利于隔热，屋顶多为________顶。",厚；小；平
地理,世界的聚落,"8.湿热地区的民居：墙________窗________,利于通风散热，屋顶多为________顶。",薄；大；斜
地理,世界的聚落,9.城市在发展的过程中可能出现的城市问题有：________，________，________等。,交通拥挤、住房紧张、环境污染
地理,天气和气候,1.天气是指某个地方距离地表较近的大气层在________时段内的具体状态，天气重要特征是________,短；多变
地理,天气和气候,2.气候是指一个地方________的天气平均状况，气候具有相对的________,多年；稳定性
地理,天气和气候,3.在卫星云图上，________色表示陆地，________色表示海洋，________色表示云区。,绿；蓝；白
地理,天气和气候,"4.空气污染指数反映空气被污染的程度，指数越________,空气污染越严重。",大
地理,天气和气候,5.影响气候的因素有：地球的形状(________位置)、海陆位置、地形地势、人类活动等。6.记住七年级上册的常见天气符号。,纬度
地理,气温和降水,1.________和________是气候的重要因素。,气温；降水
地理,气温和降水,2.一天中的最高气温与最低气温的差叫气温________,日较差
地理,气温和降水,3.一年中最高月均温与最低月均温的差叫气温年较差。在五带中，气温年较差最小的是________带。,热
地理,气温和降水,4.气温由低纬向高纬逐渐________。,递减
地理,气温和降水,5.同一纬度高山、高原的气温________平原的气温________。海拔每升高100米，气温约下降________℃。,低；高；0.6
地理,气温和降水,6.降水的主要类型有________雨、________雨、________雨。,对流；地形雨、锋面
地理,气温和降水,"7.赤道地区降水________,两极地区降水________。",多；少
地理,气温和降水,"8.南北回归线附近，大陆东岸(季风气候)降水________,大陆西岸和内陆地区降水",多
地理,气温和降水,"9.中纬度地区，沿海降水________,内陆降水________。",多；少
地理,气温和降水,"10.山地迎风坡降水________,背风坡降水________。",多；少
地理,气温和降水,11.人工造林、修建水库等，使当地气候有所________;乱砍滥伐等，使当地气候________。,改善；恶化
地理,气温和降水,12.________等温室气体急剧增加，导致全球变暖、冰川________、海平面________、旱涝灾,二氧化碳；融化；上升
地理,气温和降水,13.若某地最高月均温出现在7、8月，则该地位于________半球；若某地最高月均温出现在1、2月，则该地位于________半球。,北；南
地理,世界的气候类型,1.气候分布规律口诀：东季西海________，热林草沙___纬度。,东季西海中大陆；热林草沙低纬度
地理,世界的气候类型,2.热带雨林气候主要分布在________附近，全年,赤道
地理,世界的气候类型,"3.热带草原气候主要分布在________气候的南北两侧，全年________,分两季。",热带雨林；高温
地理,世界的气候类型,"4.热带季风气候主要分布在________半岛和________半岛，全年________,有明显的________和",印度；中南；高温；季
地理,世界的气候类型,5.热带沙漠气候主要分布在________线经过的内陆地区和大陆________岸地区，全年,南北回归；西
地理,世界的气候类型,6.亚热带季风和亚热带湿润气候主要分布在亚热带的大陆________岸地区，夏季________冬季,东；高温多雨
地理,世界的气候类型,"7.地中海气候主要分布在南北纬_________的大陆________岸，夏季________,冬季",30~40；西；炎热干燥
地理,世界的气候类型,8.温带季风气候主要分布在________大陆温带地区的东部，夏季,温带
地理,世界的气候类型,9.温带海洋性气候主要分布在中纬地区的大陆________岸，冬暖夏凉，全年降水________。,西；均匀
地理,世界的气候类型,10.温带大陆性气候主要分布在________大陆和北美洲内部，冬冷夏热，降水较________。,亚欧；少
地理,世界的气候类型,11.高山高原气候区，山地随着海拔的升高，自然景观的________变化显著。,垂直
地理,世界的气候类型,12.最冷月均温高于15℃→________带气候类型。,热
地理,世界的气候类型,13.最冷月均温为0℃~15℃→________带气候类型(包括地中海气候)或________气候。,亚热；温带海洋性
地理,世界的气候类型,"14.最冷月温低于0℃,最热月均温高于10℃→温带________气候。",大陆性
地理,世界上的国家和组织,"1.世界面积最大的国家是________面积第二大是________,面积第三大是________,面积第四大是________,面积第五大是________,面积最小的国家是________;",俄罗斯；加拿大；中国；美国；巴西；梵蒂冈；
地理,世界上的国家和组织,"世界人口最多的国家是________,其次是________。",印度；中国
地理,世界上的国家和组织,2.埃及是跨________州和________洲的非洲国家。,非州；亚州
地理,世界上的国家和组织,3.俄罗斯地跨________洲和________州，国际默认为是________洲国家。,亚；欧；欧
地理,世界上的国家和组织,4.________的高低是划分发达国家和发展中国家的依据。,经济水平发展
地理,世界上的国家和组织,5.发达国家主要分布在________洲、________洲、________洲，大多分布在________半球。,北美；欧；大洋；北
地理,世界上的国家和组织,"6.发展中国家主要分布在________洲、________洲、拉丁美洲(美国以南的美洲),大多分布在北半球的________部和________半球。",非；亚州；南；南
地理,世界上的国家和组织,"7.发展中国家与发达国家之间的商谈称为“________”,发展中国家之间的互助合作称为________。",南北对话；南南合作
地理,世界上的国家和组织,"8.资金、技术、人才、信息在全球范围内分配，产品生产的分工和协作显著,表明________化趋势越来越强。",经济全球
地理,世界上的国家和组织,"9.世界贸易组织(________),总部设在________,宗旨是促进世界经济发展和贸易公平，________12月1日中国正式加入世界贸易组织。",WTO；瑞士日内瓦；2001年
地理,世界上的国家和组织,"10.欧洲联盟(EU),________欧盟成员国使用统一的货币________,总部设在________________",欧元；比利时布鲁塞尔
地理,世界上的国家和组织,"11.联合国(UN)________是世界上规模________,最有影响力的全球性国际组织，总部设在________,职能是维护国际和平和安全。",最大；美国纽约
地理,亚洲,1.________穿过亚洲北部，________穿过亚洲南部，赤道穿过________群岛，,北极圈；北回归线；马来；
地理,亚洲,亚洲地跨________带、________带、________带，是跨纬度最广的大洲(跨经度最广的是________洲)。,热；(北)温；寒；南极
地理,亚洲,2.亚洲东临________洋，北临________洋，南临________洋，西接________洲。,太平；北冰；印度；欧
地理,亚洲,"3.亚洲平均海拔________,仅次于________,地面起伏________,",高；南极洲；大；
地理,亚洲,亚洲地形以________、________为主，地势________高________低。,高原；山地；中部；四周
地理,亚洲,4.亚洲地域面积广大，________性特征显著。亚洲东部濒频临海洋面积最大的太平洋，海陆差异明显，亚洲东部和南部________气候典型。,大陆；季风
地理,亚洲,5.亚洲气候复杂多样，除__________外，其他气候都有分布。,温带海洋性气候
地理,亚洲,6.亚洲河流受地势影响，从中部向四周呈________状分布；内流流域面积广大。,放射
地理,亚洲,"7.亚洲最长、世界第三长的河流是________,亚洲流经国家最多的河流是________河，在中国境内称________。",长江；湄公；澜沧江
地理,亚洲,8.世界最深的淡水湖是________;世界面积最大的咸水湖是________。世界陆地的最低处、含盐度很高的咸水湖是________;湖水一半咸一半淡的湖泊是________。,贝加尔湖；里海；死海；巴尔喀什湖
地理,亚洲,9.地方时是根据________在天空中的位置来确定时间，太阳位置最高的时刻为当地的________点，日出是________点，日落是________点，因为地球在不停的自转，每一条经线上的地方时都不同。,太阳；12；6；18
地理,亚洲,"10.全球分为________个时区，经度每跨越________,时间相差________小时，",24；15°；1；
地理,亚洲,"因为地球自转是自西向东，永远是________的时间早于________的时间，________,简称东早西晚。",东经度；西经度；东经度度数越大，时间越早
地理,亚洲,11.有的国家地域面积广大，跨多个时区，为了避免时间混乱，国家内统一规定使用________所在的时区的时间。,首都
地理,亚洲,12.国际日期变更线大部分与________经线重合，向东跨越国际日期变更线，日期要________1天。,180°；减去
地理,欧洲,1.欧洲地跨________带和________带，没有________分布。,温；寒；热带
地理,欧洲,2.欧洲北临________洋，西临________洋，南临________海，东接________洲。,北冰；大西；地中；亚
地理,欧洲,3.欧洲是世界平均海拔最________的大洲，地面起伏不大，地形以________为主，地势南北高、中间低。,低；平原
地理,欧洲,4.欧洲________地貌广布(如挪威的峡湾、芬兰的湖泊、阿尔卑斯山的峰峦等)。,冰川
地理,欧洲,"5.欧洲以________带气候类型为主，________性特征显著,________气候和________气候最为典型。",温；海洋；地中海气候；温带海洋性
地理,欧洲,"6.欧洲河网密集，地势低平，水流________。温带海洋性气候，全年降水均匀，水量丰富，季节变化________,河流________。所以河流航运价值________。",缓慢；小；不结冰；高
地理,欧洲,7.________河是欧洲最长的内流河，也是世界最长的内流河，注人________海。,伏尔加；里
地理,欧洲,8.________河是欧洲也是世界流经国家最多的河流，注入________。,多瑙；黑海
地理,欧洲,9.莱茵河主要流经________国，注入________。,德；北海
地理,欧洲,"10.欧洲大多数是________,是世界上人口自然增长率________的大洲，人口密度________,人口________化现象严重。",发达国家；最低；大；老龄化
地理,非洲,1.非洲地跨赤道南北，主要位于___________之间，大部分位于________带。,南北回归线；热
地理,非洲,2.非洲东临________洋，西临________洋。,印度；大西
地理,非洲,3.非洲东北隔________运河与________洲邻，北隔________海及________与________洲相望。,苏伊士；亚州；地中；直布罗陀海峡；欧州
地理,非洲,4.非洲地形以________为主，有“_________”之称；地势__________高，________低。,高原；高原大陆；东南；西北
地理,非洲,"5.世界陆地最大的断裂带：________,是由板块_________形成的。",东非大裂谷；张裂拉伸
地理,非洲,"7.非洲最高峰：________,号称非洲屋脊。",乞力马扎罗山
地理,非洲,8.世界最大的盆地：________。世界最大的沙漠：________,刚果盆地；撒哈拉沙漠
地理,非洲,9.非洲有“________“之称，是世界年平均气温最高的大洲。,热带大陆”
地理,非洲,10.非洲的降水地区分布很不均衡，________区面积世界最大。,干旱
地理,非洲,11.非洲的气候类型大致以________分布。,赤道为中心，呈南北对称
地理,非洲,"12.________河是世界最长的河流，主要流经________气候区和________气候区，水量季节变化________,________流入地中海",尼罗；热带沙漠；热带草原；大，自南向北流
地理,非洲,"13.________河是非洲水量最大的河流，主要流经________气候区，________,河流水量季节变化________。",刚果；热带雨林；自东向西注入几内亚湾；小
地理,非洲,14.非洲物产丰饶，有“________”之称；矿产资源丰富，________等储量和产量都居世界前列。,富饶大陆；金刚石、黄金
地理,非洲,15.第二次世界大战前，非洲只有3个独立国家：________、埃塞俄比亚、利比里亚。,埃及
地理,非洲,17.非洲的________的面积在各大洲中最大，热带草原气候分为干湿两季，草原上动物，比如________迁徙。,热带草原；斑马、长颈鹿、非洲象等会追逐水源
地理,北美洲,1.北美洲西临________洋，东临________洋，北临________洋。,太平；大西；北冰
地理,北美洲,2.北美洲西北隔________海峡与________州相望，南以________运河与南美洲为界。,白令；亚；巴拿马
地理,北美洲,3.拉丁美洲指________以南的美洲地区。,美国
地理,北美洲,4.拉丁美洲包括墨西哥高原、________地峡(中美洲)、________、________,中美；西印度群岛；南美洲。
地理,北美洲,5.________的洲界线、_________的国界线、都穿越的白令海峡。,亚洲和北美洲；美国和俄罗斯；180°经线
地理,北美洲,"6.北美洲的地形分为三大南北纵列带：西部是高大的________山系，中部是广阔的________,东部是低缓的________山脉和________高原。",科迪勒拉；大平原；阿巴拉契亚；拉布拉多
地理,北美洲,7.密西西比河发源于________山脉，自北向南注入________湾，主要流经美国，是世界第________长河。,落基；墨西哥；四
地理,北美洲,8.五大湖由________作用形成，其中的________湖是世界最大的淡水湖。,冰川；苏必利尔
地理,北美洲,9.北美洲西部的山脉多为南北走向，阻挡了来自________洋的湿润空气深入大陆内部，使________气候呈南北狭长状分布于西部沿海地区。,太平；温带海洋性
地理,北美洲,"10.北美洲地跨寒、温、热三带，大部分位于________,气候类型复杂多样，以________气候为主。",北温带；温带大陆性
地理,北美洲,11.北美洲中部是广阔的平原，平坦开阔，冬季从________洋南下的冷空气和夏季从________湾北上的暖空气都可长驱直入。,北冰；墨西哥
地理,北美洲,12.北美洲以欧洲________色人种的后裔为主，原住居民绝大部分是________人。,白；印第安
地理,北美洲,13.北美洲的石油主要分布在________沿岸。,墨西哥湾
地理,北美洲,14.北美洲包括的主要国家有：________、________、________。,加拿大、美国、墨西哥
地理,南美洲,1.南美洲主要位于________半球、________半球。,南；西
地理,南美洲,2.南美洲西临________洋，东临________洋，北以________运河与北美洲为界。,太平；大西；巴拿马
地理,南美洲,3.南美洲________带范围广阔，以________气候和_________气候为主，没有________带，是世界最_________的大洲。,热；热带雨林；热带草原；寒；湿润
地理,南美洲,4.亚马孙河发源于________山脉，自西向东注入________洋，主要流经巴西，是世界第________长河，也是世界________、________的河流。,安第斯；大西；二；流量最大流域面积最广
地理,南美洲,5.南美洲的地形格局：西部为高大的________山脉，东部________相间分布。,安第斯；平原与高原
地理,南美洲,6.________平原是世界最大的平原，________高原是世界最大的高原。,亚马逊；巴西
地理,南美洲,7.南美洲________人种所占比重大，号称“_________”。,混血；世界人种大熔炉
地理,南美洲,8.美洲经济发展很不平衡，________和________是发达国家，其余国家则属于________,美国；加拿大；发展中国家
地理,南美洲,9.南美洲的农矿产品是其主要的出口商品，________是南美洲工农业最发达的国家。,巴西
地理,南美洲,10.南美洲的农业以________作物为主，大量出产_。,热带经济；咖啡、可可、香蕉
地理,东南亚,1.东南亚位于亚洲的________部，地处_________洲与大洋洲、________洋与________洋的“十字路口”。,东南；亚；印度；太平
地理,东南亚,2.东南亚包括________以及_________的大部分。,马来群岛；中南半岛
地理,东南亚,3.________是东南亚唯一的内陆国。,老挝
地理,东南亚,4._________是东南亚面积最大、人口最多的国家，也是世界最大的群岛国家和火山最多的国家。,印度尼西亚
地理,东南亚,5.印度尼西亚位于________板块、________板块、________板块的交界处，________、________活动频繁，有“_________”之称。,亚欧；印度洋板块、太平洋；地震；火山；“火山国”
地理,东南亚,6.火山灰污染空气质量，降低能见度，危害交通安全，但对土壤来说，是很好的_______。,肥料
地理,东南亚,7.中南半岛的地势大致________高________低，地形特点为________________________。,北；南；山河相间，纵列分布
地理,东南亚,"8.中南半岛以________气候为主，终年高温，一年分________两季。6-10月盛行________降水较多为雨季，11月到次年5月盛行________,降水较少为旱季。",热带季风；旱雨；西南风；东北风
